file_name,pitch_midi,pitch_name,onset_s,duration_s
F03_0057_0002_1_D.mid,72,C5,5.100000,0.300000
F03_0057_0002_1_D.mid,69,A4,5.400000,0.300000
F03_0057_0002_1_D.mid,67,G4,5.700000,0.300000
F03_0057_0002_1_D.mid,62,D4,6.000000,0.600000
F03_0057_0002_1_D.mid,69,A4,6.600000,0.600000
F03_0057_0002_1_D.mid,67,G4,7.200000,0.900000
F03_0057_0002_1_D.mid,69,A4,8.100000,0.300000
F03_0057_0002_1_D.mid,67,G4,8.400000,1.200000
F03_0057_0002_1_D.mid,64,E4,9.600000,0.900000
F03_0057_0002_1_D.mid,72,C5,10.500000,0.300000
F03_0057_0002_1_D.mid,69,A4,10.800000,0.600000
F03_0057_0002_1_D.mid,67,G4,11.400000,0.300000
F03_0057_0002_1_D.mid,69,A4,11.700000,0.300000
F03_0057_0002_1_D.mid,60,C4,12.000000,0.600000
F03_0057_0002_1_D.mid,62,D4,12.600000,0.300000
F03_0057_0002_1_D.mid,60,C4,12.900000,0.300000
F03_0057_0002_1_D.mid,57,A3,13.200000,1.200000
F03_0057_0002_1_D.mid,67,G4,14.400000,0.600000
F03_0057_0002_1_D.mid,60,C4,15.000000,0.300000
F03_0057_0002_1_D.mid,62,D4,15.300000,0.300000
F03_0057_0002_1_D.mid,55,G3,15.600000,0.600000
F03_0057_0002_1_D.mid,57,A3,16.200000,0.300000
F03_0057_0002_1_D.mid,60,C4,16.500000,0.300000
F03_0057_0002_1_D.mid,60,C4,16.800000,1.200000
M02_0125_0001_1.mid,69,A4,0.000000,0.735991
M02_0125_0001_1.mid,71,B4,0.775861,0.244612
M02_0125_0001_1.mid,72,C5,1.034482,0.735991
M02_0125_0001_1.mid,69,A4,1.810344,0.244612
M02_0125_0001_1.mid,72,C5,2.068964,0.490301
M02_0125_0001_1.mid,71,B4,2.586205,0.244612
M02_0125_0001_1.mid,69,A4,2.844826,0.244612
M02_0125_0001_1.mid,71,B4,3.103446,0.490301
M02_0125_0001_1.mid,64,E4,3.620687,0.490301
M02_0125_0001_1.mid,71,B4,4.137928,0.735991
M02_0125_0001_1.mid,72,C5,4.913790,0.244612
M02_0125_0001_1.mid,74,D5,5.172410,0.735991
M02_0125_0001_1.mid,71,B4,5.948272,0.244612
M02_0125_0001_1.mid,74,D5,6.206892,0.244612
M02_0125_0001_1.mid,74,D5,6.465512,0.244612
M02_0125_0001_1.mid,72,C5,6.724133,0.244612
M02_0125_0001_1.mid,71,B4,6.982754,0.244612
M02_0125_0001_1.mid,69,A4,7.241374,0.981680
F01_0302_0001_2_D.mid,50,D3,0.000000,0.416666
F01_0302_0001_2_D.mid,52,E3,0.416666,0.416666
F01_0302_0001_2_D.mid,55,G3,0.833333,0.416666
F01_0302_0001_2_D.mid,57,A3,1.249999,0.833333
F01_0302_0001_2_D.mid,55,G3,2.083333,0.833333
F01_0302_0001_2_D.mid,52,E3,2.916666,0.416666
F01_0302_0001_2_D.mid,57,A3,3.333332,0.833333
F01_0302_0001_2_D.mid,57,A3,4.999998,0.416666
F01_0302_0001_2_D.mid,60,C4,5.416664,0.416667
F01_0302_0001_2_D.mid,62,D4,5.833331,1.249999
F01_0302_0001_2_D.mid,60,C4,7.083330,0.416666
F01_0302_0001_2_D.mid,62,D4,7.499997,0.416667
F01_0302_0001_2_D.mid,64,E4,7.916664,0.416666
F01_0302_0001_2_D.mid,67,G4,8.333330,0.416666
F01_0302_0001_2_D.mid,64,E4,8.749996,0.416666
F01_0302_0001_2_D.mid,62,D4,9.166663,0.416666
F01_0302_0001_2_D.mid,60,C4,9.583329,1.249999
F01_0302_0001_2_D.mid,64,E4,11.666662,0.416666
F01_0302_0001_2_D.mid,62,D4,12.083329,0.416666
F01_0302_0001_2_D.mid,60,C4,12.499995,0.416666
F01_0302_0001_2_D.mid,57,A3,12.916662,1.249999
F01_0302_0001_2_D.mid,60,C4,14.166661,0.416666
F01_0302_0001_2_D.mid,62,D4,14.583327,1.944172
F02_0004_0001_1.mid,72,C5,1.000000,0.236458
F02_0004_0001_1.mid,72,C5,1.250000,0.236458
F02_0004_0001_1.mid,74,D5,1.500000,0.473958
F02_0004_0001_1.mid,72,C5,2.000000,0.473958
F02_0004_0001_1.mid,77,F5,2.500000,0.473958
F02_0004_0001_1.mid,76,E5,3.000000,0.948958
F02_0004_0001_1.mid,72,C5,4.000000,0.236458
F02_0004_0001_1.mid,72,C5,4.250000,0.236458
F02_0004_0001_1.mid,74,D5,4.500000,0.473958
F02_0004_0001_1.mid,72,C5,5.000000,0.473958
F02_0004_0001_1.mid,79,G5,5.500000,0.473958
F02_0004_0001_1.mid,77,F5,6.000000,0.948958
F02_0004_0001_1.mid,72,C5,7.000000,0.236458
F02_0004_0001_1.mid,72,C5,7.250000,0.236458
F02_0004_0001_1.mid,84,C6,7.500000,0.473958
F02_0004_0001_1.mid,81,A5,8.000000,0.473958
F02_0004_0001_1.mid,77,F5,8.500000,0.473958
F02_0004_0001_1.mid,76,E5,9.000000,0.473958
F02_0004_0001_1.mid,74,D5,9.500000,0.473958
F02_0004_0001_1.mid,82,A#5,10.000000,0.236458
F02_0004_0001_1.mid,82,A#5,10.250000,0.236458
F02_0004_0001_1.mid,81,A5,10.500000,0.473958
F02_0004_0001_1.mid,77,F5,11.000000,0.473958
F02_0004_0001_1.mid,79,G5,11.500000,0.473958
F02_0004_0001_1.mid,77,F5,12.000000,0.948958
F04_0240_0002_2_D.mid,60,C4,2.916666,0.208333
F04_0240_0002_2_D.mid,62,D4,3.124999,0.208333
F04_0240_0002_2_D.mid,64,E4,3.333332,0.416666
F04_0240_0002_2_D.mid,62,D4,3.749998,0.208333
F04_0240_0002_2_D.mid,64,E4,3.958332,0.625000
F04_0240_0002_2_D.mid,67,G4,4.583331,0.416666
F04_0240_0002_2_D.mid,62,D4,4.999998,0.833333
F04_0240_0002_2_D.mid,67,G4,6.666664,0.416666
F04_0240_0002_2_D.mid,65,F4,7.083330,0.208333
F04_0240_0002_2_D.mid,64,E4,7.291664,0.625000
F04_0240_0002_2_D.mid,59,B3,7.916664,0.208333
F04_0240_0002_2_D.mid,60,C4,8.124997,1.041666
F04_0240_0002_2_D.mid,57,A3,9.583329,0.208333
F04_0240_0002_2_D.mid,59,B3,9.791663,0.208333
F04_0240_0002_2_D.mid,60,C4,9.999996,0.416666
F04_0240_0002_2_D.mid,59,B3,10.416662,0.208333
F04_0240_0002_2_D.mid,60,C4,10.624996,0.416666
F04_0240_0002_2_D.mid,64,E4,11.041662,0.625000
F04_0240_0002_2_D.mid,62,D4,11.666662,0.416666
F04_0240_0002_2_D.mid,60,C4,12.083329,0.208333
F04_0240_0002_2_D.mid,62,D4,12.291662,0.625000
F04_0240_0002_2_D.mid,64,E4,12.916662,0.208333
F04_0240_0002_2_D.mid,65,F4,13.124995,0.208333
F04_0240_0002_2_D.mid,64,E4,13.333328,2.291666
F03_0341_0002_1_D.mid,64,E4,0.000000,0.344828
F03_0341_0002_1_D.mid,57,A3,0.344828,0.344828
F03_0341_0002_1_D.mid,57,A3,0.689655,0.344827
F03_0341_0002_1_D.mid,64,E4,1.034482,0.344828
F03_0341_0002_1_D.mid,62,D4,1.379310,0.344828
F03_0341_0002_1_D.mid,60,C4,1.724138,0.172414
F03_0341_0002_1_D.mid,59,B3,1.896551,0.517241
F03_0341_0002_1_D.mid,55,G3,2.413793,0.172414
F03_0341_0002_1_D.mid,55,G3,2.586206,0.172414
F03_0341_0002_1_D.mid,67,G4,2.758620,0.517241
F03_0341_0002_1_D.mid,62,D4,3.275861,0.517241
F03_0341_0002_1_D.mid,64,E4,3.793103,0.344827
F03_0341_0002_1_D.mid,60,C4,4.137930,0.689655
F03_0341_0002_1_D.mid,57,A3,5.172413,0.172414
F03_0341_0002_1_D.mid,59,B3,5.344826,0.172414
F03_0341_0002_1_D.mid,60,C4,5.517240,0.344828
F03_0341_0002_1_D.mid,60,C4,5.862068,0.172414
F03_0341_0002_1_D.mid,62,D4,6.034481,0.517241
F03_0341_0002_1_D.mid,60,C4,6.551723,0.344828
F03_0341_0002_1_D.mid,59,B3,6.896550,0.344828
F03_0341_0002_1_D.mid,57,A3,7.241378,0.172414
F03_0341_0002_1_D.mid,57,A3,7.413791,0.172414
F03_0341_0002_1_D.mid,55,G3,7.931033,0.344827
F03_0341_0002_1_D.mid,57,A3,8.275860,1.379310
F01_0095_0003_1_D.mid,62,D4,0.000000,0.312500
F01_0095_0003_1_D.mid,62,D4,0.312500,0.625000
F01_0095_0003_1_D.mid,57,A3,0.937500,0.312500
F01_0095_0003_1_D.mid,62,D4,1.250000,0.312500
F01_0095_0003_1_D.mid,62,D4,1.562500,0.625000
F01_0095_0003_1_D.mid,65,F4,2.187500,0.312500
F01_0095_0003_1_D.mid,64,E4,2.500000,0.312500
F01_0095_0003_1_D.mid,62,D4,2.812500,0.312500
F01_0095_0003_1_D.mid,62,D4,3.125000,0.312500
F01_0095_0003_1_D.mid,60,C4,3.437500,0.312500
F01_0095_0003_1_D.mid,62,D4,3.750000,1.250000
F01_0095_0003_1_D.mid,62,D4,5.000000,0.312500
F01_0095_0003_1_D.mid,62,D4,5.312500,0.625000
F01_0095_0003_1_D.mid,57,A3,5.937500,0.312500
F01_0095_0003_1_D.mid,60,C4,6.250000,0.312500
F01_0095_0003_1_D.mid,60,C4,6.562500,0.625000
F01_0095_0003_1_D.mid,62,D4,7.187500,0.312500
F01_0095_0003_1_D.mid,59,B3,7.500000,0.312500
F01_0095_0003_1_D.mid,57,A3,7.812500,0.312500
F01_0095_0003_1_D.mid,57,A3,8.125000,0.312500
F01_0095_0003_1_D.mid,55,G3,8.437500,0.312500
F01_0095_0003_1_D.mid,57,A3,8.750000,1.250000
M04_0367_0001_2_D.mid,57,A3,0.000000,0.352941
M04_0367_0001_2_D.mid,60,C4,0.352941,0.352941
M04_0367_0001_2_D.mid,62,D4,0.705882,0.352941
M04_0367_0001_2_D.mid,64,E4,1.058823,0.352941
M04_0367_0001_2_D.mid,62,D4,1.411764,0.352941
M04_0367_0001_2_D.mid,64,E4,1.764705,0.352941
M04_0367_0001_2_D.mid,69,A4,2.117646,0.352941
M04_0367_0001_2_D.mid,67,G4,2.470587,0.352941
M04_0367_0001_2_D.mid,64,E4,2.823528,0.352941
M04_0367_0001_2_D.mid,64,E4,3.176469,0.352941
M04_0367_0001_2_D.mid,62,D4,3.529410,0.705882
M04_0367_0001_2_D.mid,64,E4,4.235292,1.058823
M04_0367_0001_2_D.mid,57,A3,5.647056,0.352941
M04_0367_0001_2_D.mid,60,C4,5.999997,0.352941
M04_0367_0001_2_D.mid,62,D4,6.352938,0.352941
M04_0367_0001_2_D.mid,64,E4,6.705879,0.352941
M04_0367_0001_2_D.mid,62,D4,7.058820,0.352941
M04_0367_0001_2_D.mid,64,E4,7.411761,0.352941
M04_0367_0001_2_D.mid,69,A4,7.764702,0.352941
M04_0367_0001_2_D.mid,67,G4,8.117643,0.352941
M04_0367_0001_2_D.mid,64,E4,8.470584,0.352941
M04_0367_0001_2_D.mid,64,E4,8.823525,0.705882
M04_0367_0001_2_D.mid,62,D4,9.529407,0.352941
M04_0367_0001_2_D.mid,64,E4,9.882348,1.411764
M04_0269_0002_2.mid,72,C5,0.000000,0.592448
M04_0269_0002_2.mid,69,A4,0.625000,0.592448
M04_0269_0002_2.mid,72,C5,1.250000,0.889323
M04_0269_0002_2.mid,69,A4,2.187500,0.295573
M04_0269_0002_2.mid,64,E4,2.500000,0.295573
M04_0269_0002_2.mid,72,C5,2.812500,0.295573
M04_0269_0002_2.mid,69,A4,3.125000,0.295573
M04_0269_0002_2.mid,67,G4,3.437500,0.295573
M04_0269_0002_2.mid,69,A4,3.750000,0.592448
M04_0269_0002_2.mid,64,E4,5.000000,0.592448
M04_0269_0002_2.mid,72,C5,5.625000,0.592448
M04_0269_0002_2.mid,69,A4,6.250000,0.889323
M04_0269_0002_2.mid,67,G4,7.187500,0.295573
M04_0269_0002_2.mid,74,D5,7.500000,0.295573
M04_0269_0002_2.mid,72,C5,7.812500,0.295573
M04_0269_0002_2.mid,69,A4,8.125000,0.295573
M04_0269_0002_2.mid,67,G4,8.437500,0.295573
M04_0269_0002_2.mid,69,A4,8.750000,0.592448
M04_0269_0002_2.mid,64,E4,10.000000,0.592448
M04_0269_0002_2.mid,72,C5,10.625000,0.295573
M04_0269_0002_2.mid,72,C5,10.937500,0.295573
M04_0269_0002_2.mid,69,A4,11.250000,0.592448
M04_0269_0002_2.mid,64,E4,11.875000,0.592448
M04_0269_0002_2.mid,64,E4,12.500000,0.295573
M04_0269_0002_2.mid,67,G4,12.812500,0.295573
M04_0269_0002_2.mid,69,A4,13.125000,0.592448
M04_0269_0002_2.mid,69,A4,13.750000,0.592448
M04_0269_0002_2.mid,76,E5,15.000000,0.592448
M04_0269_0002_2.mid,74,D5,15.625000,0.295573
M04_0269_0002_2.mid,72,C5,15.937500,0.295573
M04_0269_0002_2.mid,74,D5,16.250000,0.592448
M04_0269_0002_2.mid,67,G4,16.875000,0.592448
M04_0269_0002_2.mid,69,A4,17.500000,0.295573
M04_0269_0002_2.mid,72,C5,17.812500,0.295573
M04_0269_0002_2.mid,74,D5,18.125000,0.592448
M04_0269_0002_2.mid,74,D5,18.750000,0.592448
M01_0232_0001_1.mid,65,F4,1.200000,0.379167
M01_0232_0001_1.mid,74,D5,1.600000,0.759167
M01_0232_0001_1.mid,74,D5,2.400000,0.189167
M01_0232_0001_1.mid,72,C5,2.600000,0.189167
M01_0232_0001_1.mid,70,A#4,2.800000,0.379167
M01_0232_0001_1.mid,72,C5,3.200000,0.379167
M01_0232_0001_1.mid,74,D5,3.600000,0.759167
M01_0232_0001_1.mid,70,A#4,4.800000,0.379167
M01_0232_0001_1.mid,67,G4,5.200000,0.379167
M01_0232_0001_1.mid,70,A#4,5.600000,0.379167
M01_0232_0001_1.mid,74,D5,6.000000,0.379167
M01_0232_0001_1.mid,74,D5,6.400000,0.379167
M01_0232_0001_1.mid,72,C5,6.800000,0.379167
M01_0232_0001_1.mid,70,A#4,7.200000,0.379167
M01_0232_0001_1.mid,72,C5,7.600000,0.379167
M01_0232_0001_1.mid,74,D5,8.000000,0.569167
M01_0232_0001_1.mid,70,A#4,8.600000,0.189167
M01_0232_0001_1.mid,77,F5,8.800000,0.379167
M01_0232_0001_1.mid,74,D5,9.200000,0.189167
M01_0232_0001_1.mid,72,C5,9.400000,0.189167
M01_0232_0001_1.mid,72,C5,9.600000,0.379167
M01_0232_0001_1.mid,74,D5,10.000000,0.379167
M01_0232_0001_1.mid,67,G4,10.800000,0.379167
M01_0232_0001_1.mid,70,A#4,11.200000,0.379167
M01_0232_0001_1.mid,67,G4,11.600000,0.379167
M01_0232_0001_1.mid,70,A#4,12.000000,0.379167
M01_0232_0001_1.mid,74,D5,12.400000,0.379167
M01_0232_0001_1.mid,74,D5,12.800000,0.569167
M01_0232_0001_1.mid,72,C5,13.400000,0.949167
F05_0452_0002_1_D.mid,55,G3,0.000000,0.294118
F05_0452_0002_1_D.mid,57,A3,0.294118,0.294118
F05_0452_0002_1_D.mid,60,C4,0.588235,0.588235
F05_0452_0002_1_D.mid,60,C4,1.176470,0.294118
F05_0452_0002_1_D.mid,57,A3,1.470588,0.294118
F05_0452_0002_1_D.mid,60,C4,1.764705,0.588235
F05_0452_0002_1_D.mid,64,E4,2.352940,0.294118
F05_0452_0002_1_D.mid,67,G4,2.647058,0.294118
F05_0452_0002_1_D.mid,60,C4,2.941175,1.176470
F05_0452_0002_1_D.mid,55,G3,4.705880,0.294118
F05_0452_0002_1_D.mid,57,A3,4.999998,0.294117
F05_0452_0002_1_D.mid,60,C4,5.294115,0.588235
F05_0452_0002_1_D.mid,60,C4,5.882350,0.294118
F05_0452_0002_1_D.mid,57,A3,6.176468,0.294117
F05_0452_0002_1_D.mid,60,C4,6.470585,0.588235
F05_0452_0002_1_D.mid,62,D4,7.058820,0.294118
F05_0452_0002_1_D.mid,64,E4,7.352938,0.294117
F05_0452_0002_1_D.mid,64,E4,7.647055,1.176470
F05_0452_0002_1_D.mid,62,D4,9.411760,0.294118
F05_0452_0002_1_D.mid,64,E4,9.705878,0.294118
F05_0452_0002_1_D.mid,67,G4,9.999995,0.294117
F05_0452_0002_1_D.mid,69,A4,10.294113,0.294118
F05_0452_0002_1_D.mid,67,G4,10.588230,0.294118
F05_0452_0002_1_D.mid,69,A4,10.882348,0.294117
F05_0452_0002_1_D.mid,67,G4,11.176465,0.882353
F05_0452_0002_1_D.mid,62,D4,12.058818,0.588235
F05_0452_0002_1_D.mid,64,E4,12.647053,0.294118
F05_0452_0002_1_D.mid,62,D4,12.941170,0.294118
F05_0452_0002_1_D.mid,64,E4,13.235288,0.294117
F05_0452_0002_1_D.mid,60,C4,13.529405,0.588235
F05_0452_0002_1_D.mid,60,C4,14.705875,0.294117
F05_0452_0002_1_D.mid,57,A3,14.999993,0.294118
F05_0452_0002_1_D.mid,60,C4,15.294110,0.294118
F05_0452_0002_1_D.mid,57,A3,15.588228,0.294117
F05_0452_0002_1_D.mid,60,C4,15.882345,0.588235
F05_0452_0002_1_D.mid,57,A3,16.470580,0.147059
F05_0452_0002_1_D.mid,60,C4,16.617639,0.147059
F05_0452_0002_1_D.mid,57,A3,16.764698,0.294118
F05_0452_0002_1_D.mid,57,A3,17.058815,0.294117
F05_0452_0002_1_D.mid,55,G3,17.352933,1.176470
F03_0007_0001_2.mid,60,C4,0.000000,0.592448
F03_0007_0001_2.mid,62,D4,0.625000,0.592448
F03_0007_0001_2.mid,64,E4,1.250000,0.592448
F03_0007_0001_2.mid,62,D4,1.875000,0.592448
F03_0007_0001_2.mid,60,C4,2.500000,0.592448
F03_0007_0001_2.mid,62,D4,3.125000,0.592448
F03_0007_0001_2.mid,64,E4,3.750000,0.592448
F03_0007_0001_2.mid,62,D4,4.375000,0.592448
F03_0007_0001_2.mid,60,C4,5.000000,0.592448
F03_0007_0001_2.mid,62,D4,5.625000,0.592448
F03_0007_0001_2.mid,64,E4,6.250000,0.592448
F03_0007_0001_2.mid,65,F4,6.875000,0.592448
F03_0007_0001_2.mid,67,G4,7.500000,2.373698
F03_0007_0001_2.mid,67,G4,10.000000,0.592448
F03_0007_0001_2.mid,65,F4,10.625000,0.592448
F03_0007_0001_2.mid,64,E4,11.250000,0.592448
F03_0007_0001_2.mid,65,F4,11.875000,0.592448
F03_0007_0001_2.mid,67,G4,12.500000,0.592448
F03_0007_0001_2.mid,65,F4,13.125000,0.592448
F03_0007_0001_2.mid,64,E4,13.750000,0.592448
F03_0007_0001_2.mid,65,F4,14.375000,0.592448
F03_0007_0001_2.mid,67,G4,15.000000,0.592448
F03_0007_0001_2.mid,65,F4,15.625000,0.592448
F03_0007_0001_2.mid,64,E4,16.250000,0.592448
F03_0007_0001_2.mid,62,D4,16.875000,0.592448
F03_0007_0001_2.mid,60,C4,17.500000,2.373698
F03_0126_0003_1_D.mid,69,A4,0.000000,0.923077
F03_0126_0003_1_D.mid,69,A4,0.923077,0.923077
F03_0126_0003_1_D.mid,69,A4,1.846154,0.461539
F03_0126_0003_1_D.mid,70,A#4,2.307692,0.230769
F03_0126_0003_1_D.mid,72,C5,2.538462,0.461539
F03_0126_0003_1_D.mid,74,D5,3.000000,0.692308
F03_0126_0003_1_D.mid,69,A4,3.692308,0.923077
F03_0126_0003_1_D.mid,69,A4,4.615385,0.923077
F03_0126_0003_1_D.mid,69,A4,5.538462,0.461539
F03_0126_0003_1_D.mid,70,A#4,6.000000,0.230769
F03_0126_0003_1_D.mid,72,C5,6.230770,0.461538
F03_0126_0003_1_D.mid,74,D5,6.692308,0.692308
F03_0126_0003_1_D.mid,65,F4,7.384616,0.923077
F03_0126_0003_1_D.mid,72,C5,8.307693,0.461539
F03_0126_0003_1_D.mid,74,D5,8.769232,0.230769
F03_0126_0003_1_D.mid,65,F4,9.000001,1.153846
F03_0126_0003_1_D.mid,72,C5,10.153847,0.461538
F03_0126_0003_1_D.mid,74,D5,10.615385,0.230769
F03_0126_0003_1_D.mid,65,F4,10.846155,1.153846
F03_0126_0003_1_D.mid,67,G4,12.000001,0.923077
F03_0126_0003_1_D.mid,69,A4,12.923078,0.461538
F03_0126_0003_1_D.mid,70,A#4,13.384616,0.230769
F03_0126_0003_1_D.mid,72,C5,13.615386,0.230769
F03_0126_0003_1_D.mid,70,A#4,13.846155,0.461538
F03_0126_0003_1_D.mid,69,A4,14.307693,0.461538
F03_0126_0003_1_D.mid,65,F4,14.769232,3.461539
M03_0243_0001_1_DD.mid,43,G2,0.769231,0.384615
M03_0243_0001_1_DD.mid,45,A2,1.153846,0.384615
M03_0243_0001_1_DD.mid,47,B2,1.538462,1.153847
M03_0243_0001_1_DD.mid,43,G2,2.692309,0.384615
M03_0243_0001_1_DD.mid,38,D2,3.076924,0.769231
M03_0243_0001_1_DD.mid,38,D2,4.230771,0.384615
M03_0243_0001_1_DD.mid,40,E2,4.615386,0.384615
M03_0243_0001_1_DD.mid,43,G2,5.000001,0.384616
M03_0243_0001_1_DD.mid,48,C3,5.384617,0.384615
M03_0243_0001_1_DD.mid,52,E3,5.769233,0.384615
M03_0243_0001_1_DD.mid,50,D3,6.153848,0.769231
M03_0243_0001_1_DD.mid,47,B2,6.923079,0.384616
M03_0243_0001_1_DD.mid,50,D3,7.307695,0.384615
M03_0243_0001_1_DD.mid,43,G2,7.692310,1.153846
M03_0243_0001_1_DD.mid,47,B2,8.846156,0.384616
M03_0243_0001_1_DD.mid,38,D2,9.230772,0.769231
M03_0243_0001_1_DD.mid,38,D2,10.384619,0.384616
M03_0243_0001_1_DD.mid,36,C2,10.769234,0.384615
M03_0243_0001_1_DD.mid,40,E2,11.153849,0.384616
M03_0243_0001_1_DD.mid,48,C3,11.538465,0.384615
M03_0243_0001_1_DD.mid,47,B2,11.923080,0.384616
M03_0243_0001_1_DD.mid,45,A2,12.307696,0.769231
F05_0213_0001_2_D.mid,55,G3,1.500000,0.750000
F05_0213_0001_2_D.mid,64,E4,2.250000,1.125000
F05_0213_0001_2_D.mid,64,E4,3.375000,0.375000
F05_0213_0001_2_D.mid,62,D4,3.750000,0.375000
F05_0213_0001_2_D.mid,60,C4,4.125000,0.375000
F05_0213_0001_2_D.mid,64,E4,4.500000,0.750000
F05_0213_0001_2_D.mid,60,C4,6.000000,0.375000
F05_0213_0001_2_D.mid,62,D4,6.375000,0.375000
F05_0213_0001_2_D.mid,64,E4,6.750000,1.125000
F05_0213_0001_2_D.mid,69,A4,7.875000,0.375000
F05_0213_0001_2_D.mid,67,G4,8.250000,0.375000
F05_0213_0001_2_D.mid,64,E4,8.625000,0.375000
F05_0213_0001_2_D.mid,67,G4,9.000000,0.750000
F05_0213_0001_2_D.mid,64,E4,10.500000,0.375000
F05_0213_0001_2_D.mid,67,G4,10.875000,0.375000
F05_0213_0001_2_D.mid,69,A4,11.250000,1.125000
F05_0213_0001_2_D.mid,69,A4,12.375000,0.375000
F05_0213_0001_2_D.mid,67,G4,12.750000,0.375000
F05_0213_0001_2_D.mid,69,A4,13.125000,0.375000
F05_0213_0001_2_D.mid,60,C4,13.500000,1.749756
F05_0213_0001_2_D.mid,62,D4,16.125000,0.375000
F05_0213_0001_2_D.mid,64,E4,16.500000,0.375000
F05_0213_0001_2_D.mid,69,A4,16.875000,0.375000
F05_0213_0001_2_D.mid,67,G4,17.250000,0.375000
F05_0213_0001_2_D.mid,64,E4,17.625000,0.375000
F05_0213_0001_2_D.mid,62,D4,18.000000,0.750000
F05_0213_0001_2_D.mid,60,C4,19.125000,0.375000
F05_0213_0001_2_D.mid,62,D4,19.500000,0.375000
F05_0213_0001_2_D.mid,60,C4,19.875000,0.375000
F05_0213_0001_2_D.mid,57,A3,20.250000,0.375000
F05_0213_0001_2_D.mid,57,A3,20.625000,0.750000
F05_0213_0001_2_D.mid,60,C4,21.750000,0.375000
F05_0213_0001_2_D.mid,62,D4,22.125000,0.375000
F05_0213_0001_2_D.mid,60,C4,22.500000,1.500000
M01_0263_0002_1_D.mid,62,D4,0.000000,0.600000
M01_0263_0002_1_D.mid,60,C4,0.600000,1.200000
M01_0263_0002_1_D.mid,59,B3,1.800000,0.300000
M01_0263_0002_1_D.mid,60,C4,2.100000,0.300000
M01_0263_0002_1_D.mid,57,A3,2.400000,0.600000
M01_0263_0002_1_D.mid,57,A3,3.000000,0.300000
M01_0263_0002_1_D.mid,59,B3,3.300000,0.300000
M01_0263_0002_1_D.mid,60,C4,3.600000,0.600000
M01_0263_0002_1_D.mid,60,C4,4.200000,0.300000
M01_0263_0002_1_D.mid,69,A4,4.500000,0.300000
M01_0263_0002_1_D.mid,67,G4,4.800000,0.600000
M01_0263_0002_1_D.mid,65,F4,5.400000,0.600000
M01_0263_0002_1_D.mid,64,E4,6.000000,0.600000
M01_0263_0002_1_D.mid,64,E4,6.900000,0.300000
M01_0263_0002_1_D.mid,65,F4,7.200000,0.600000
M01_0263_0002_1_D.mid,65,F4,7.800000,0.300000
M01_0263_0002_1_D.mid,67,G4,8.100000,0.300000
